city,disaster_type,intervention_id,intervention_name,description,estimated_cost_usd,estimated_damage_reduction_usd,roi_ratio,source,source_url,year_implemented,actual_outcome,implementation_time
Houston,Flood,HOU-001,Brays Bayou Detention Basin Expansion,Expand detention capacity by 30% in Brays Bayou watershed through channel widening and new retention basins,50000000,200000000,4.0,FEMA HMGP + HCFCD Project Brays,https://www.hcfcd.org/project-brays,0,Completed sections reduced flood stages by 2-3 feet,24-36 months
Houston,Flood,HOU-002,Addicks Reservoir Capacity Expansion,Increase Addicks and Barker reservoir capacity through sediment removal and spillway modifications,75000000,277500000,3.7,USACE Houston-Area Reservoir Study 2023,https://www.swg.usace.army.mil,0,N/A - recommended but not funded,36-48 months
Houston,Flood,HOU-003,Addicks Floodplain Buyout Program,"Expand FEMA HMGP buyout program for 3,000+ highest-risk properties in Addicks/Barker floodpool",120000000,396000000,3.3,FEMA HMGP Harris County Buyout Program,,2020,"3,000 homes purchased, eliminated repeat flooding",12-24 months
Houston,Flood,HOU-004,White Oak Bayou Stormwater Detention,Construct regional detention facilities along White Oak Bayou corridor in northwest Houston,40000000,120000000,3.0,HCFCD White Oak Bayou Flood Management Plan 2024,,0,Similar projects in Friendswood: 40% reduction in peak flows,18-30 months
Houston,Flood,HOU-005,Flood Warning System Modernization,"Deploy 200+ new stream gauges, AI-enhanced rainfall prediction, and automated alert system",15000000,40500000,2.7,FEMA HMGP + Harris County Flood Warning System,,0,Enhanced early warning reduces response time by 45%,12-18 months
Houston,Flood,HOU-006,Hunting Bayou Channel Improvements,Widen and deepen Hunting Bayou channel in east Houston serving predominantly low-income communities,35000000,105000000,3.0,HCFCD Hunting Bayou Study,,0,Modelling shows 3.5ft flood stage reduction,18-24 months
Los Angeles,Wildfire,LA-001,Power Line Undergrounding (High-Risk Zones),Underground 847 miles of high-risk transmission lines in Very High FHSZ zones countywide,3000000000,12000000000,4.0,SCE Wildfire Mitigation Plan / CPUC,,2024,Undergrounding eliminates ignition risk from power lines,60-120 months
Los Angeles,Wildfire,LA-002,WUI Building Code Upgrade,"Mandate fire-resistant construction in all High FHSZ zones — Class A roofing, ember-resistant vents",50000000,180000000,3.6,CAL FIRE / Butte County post-Camp Fire outcomes,,2023,60% reduction in structure ignition rate in Butte County,6-12 months
Los Angeles,Wildfire,LA-003,Vegetation Management Acceleration,"Clear 100% of targeted high-risk parcels annually, remove eucalyptus monocultures in WUI zones",85000000,297500000,3.5,LA County Vegetation Management Plan 2024,,0,Defensible space reduces structure loss by 50%,12-24 months
Los Angeles,Wildfire,LA-004,Secondary Evacuation Routes,"Construct additional evacuation routes in Pacific Palisades, Topanga, and Malibu",200000000,600000000,3.0,LA County Evacuation Route Study,,0,Single-access roads caused 2025 Palisades evacuation bottleneck,36-60 months
Los Angeles,Wildfire,LA-005,Home Hardening Grant Program,"$15K grants for 20,000 WUI homes for fire-resistant retrofits targeting low-income homeowners",300000000,840000000,2.8,CAL FIRE Home Hardening / FEMA BRIC Program,,2022,Butte County: 60% reduction in structure ignition,6-12 months
Los Angeles,Wildfire,LA-006,Fuel Break Network Expansion,Complete 500-mile strategic fuel break network across LA County WUI zones with ongoing maintenance,150000000,375000000,2.5,CAL FIRE Fuel Break Program,,2023,Protected communities in 2017 Thomas Fire,24-48 months
